index,Topics
MED-16,"['adult', 'aged', 'axilla', 'breast / analysis', 'breast neoplasms / analysis', 'breast neoplasms / mortality', 'dna / analysis', 'humans', 'lymphatic metastasis', 'middle aged', 'prognosis', 'receptors, estrogen / analysis', 'receptors, ldl / analysis']"
MED-17,"['alcohol drinking', 'breast neoplasms / etiology', 'breast neoplasms / prevention &amp; control', 'diet', 'dietary fiber / therapeutic use', 'energy intake', 'estrogens / metabolism', 'female', 'humans', 'obesity / complications', 'postmenopause', 'survivors']"
MED-18,"['4-butyrolactone / administration &amp; dosage', '4-butyrolactone / analogs &amp; derivatives', '4-butyrolactone / therapeutic use', 'aged', 'breast neoplasms / epidemiology', 'breast neoplasms / etiology', 'breast neoplasms / prevention &amp; control', 'carcinoma / epidemiology', 'carcinoma / etiology', 'carcinoma / prevention &amp; control', 'case-control studies', 'cucurbita / chemistry', 'diet / adverse effects', 'dietary fiber / administration &amp; dosage', 'dietary fiber / therapeutic use', 'female', 'germany / epidemiology', 'helianthus / chemistry', 'humans', 'lignans / administration &amp; dosage', 'lignans / therapeutic use', 'middle aged', 'phytoestrogens / administration &amp; dosage', 'phytoestrogens / therapeutic use', 'postmenopause', 'risk', 'seeds / chemistry', 'soybeans / chemistry']"
MED-19,"['anticholesteremic agents', 'antineoplastic agents', 'apoptosis', 'breast neoplasms / etiology', 'breast neoplasms / prevention &amp; control', 'cell membrane / physiology', 'cholesterol / blood', 'estrogens / physiology', 'female', 'glucose / metabolism', 'humans', 'immunity', 'inflammation', 'liver x receptors', 'orphan nuclear receptors', 'oxidative stress', 'phytosterols / pharmacokinetics', 'phytosterols / pharmacology', 'receptors, estrogen', 'risk factors', 'signal transduction', 'sitosterols']"
MED-20,"['adult', 'aged', 'aged, 80 and over', 'asian continental ancestry group / statistics &amp; numerical data', 'biomarkers / blood', 'cholesterol / blood', 'female', 'humans', 'incidence', 'male', 'middle aged', 'national health programs', 'neoplasms / blood', 'neoplasms / ethnology', 'proportional hazards models', 'prospective studies', 'republic of korea / epidemiology', 'risk assessment', 'risk factors', 'time factors']"
MED-21,"['adolescent', 'adult', 'dermatitis, atopic / diet therapy', 'dermatitis, atopic / physiopathology', 'diet, vegetarian', 'dinoprostone / biosynthesis', 'eosinophils / physiology', 'female', 'humans', 'immunoglobulin e / blood', 'inflammation', 'male', 'monocytes / physiology', 'severity of illness index', 'treatment outcome']"
MED-22,"['adult', 'aged', 'asthma / blood', 'asthma / diet therapy', 'asthma / drug therapy', 'chronic disease', 'combined modality therapy', 'diet, vegetarian', 'evaluation studies as topic', 'female', 'follow-up studies', 'humans', 'male', 'methods', 'middle aged']"
MED-23,"['creatinine / blood', 'cyclosporins / adverse effects', 'humans', 'lipids / blood', 'liver / drug effects', 'lymphoma / chemically induced', 'psoriasis / blood', 'psoriasis / drug therapy', 'skin neoplasms / chemically induced']"
MED-24,"['adult', 'animals', 'anti-allergic agents / immunology', 'anti-allergic agents / therapeutic use', 'child', 'child, preschool', 'diet', 'female', 'fruit / chemistry', 'humans', 'hypersensitivity / drug therapy', 'hypersensitivity / immunology', 'hypersensitivity / prevention &amp; control', 'immune system / immunology', 'male', 'mice', 'polyphenols / immunology', 'polyphenols / therapeutic use', 'vegetables / chemistry']"
MED-25,"['adult', 'aged', 'antioxidants / administration &amp; dosage', 'antioxidants / adverse effects', 'antioxidants / therapeutic use', 'asthma / blood', 'asthma / diet therapy', 'asthma / immunology', 'asthma / physiopathology', 'c-reactive protein / analysis', 'carotenoids / adverse effects', 'carotenoids / analysis', 'carotenoids / therapeutic use', 'diet / adverse effects', 'dietary supplements / adverse effects', 'double-blind method', 'female', 'fruit / adverse effects', 'fruit / chemistry', 'humans', 'inflammation mediators / blood', 'lycopene', 'lycopersicon esculentum / adverse effects', 'lycopersicon esculentum / chemistry', 'male', 'middle aged', 'oxidative stress', 'patient dropouts', 'plant extracts / adverse effects', 'plant extracts / chemistry', 'plant extracts / therapeutic use', 'respiratory system / physiopathology', 'vegetables / adverse effects', 'vegetables / chemistry']"
MED-26,"['anti-allergic agents / administration &amp; dosage', 'anti-allergic agents / adverse effects', 'anti-allergic agents / therapeutic use', 'cedrus / immunology', 'double-blind method', 'flavonoids / administration &amp; dosage', 'flavonoids / adverse effects', 'flavonoids / therapeutic use', 'humans', 'japan', 'malus / chemistry', 'phenols / administration &amp; dosage', 'phenols / adverse effects', 'phenols / therapeutic use', 'pollen / immunology', 'polyphenols', 'rhinitis, allergic, perennial / complications', 'rhinitis, allergic, perennial / drug therapy', 'rhinitis, allergic, perennial / physiopathology', 'sneezing', 'time factors']"
MED-27,"['adolescent', 'asthma / prevention &amp; control', 'child', 'cross-sectional studies', 'diet, mediterranean', 'female', 'fruit', 'greece', 'humans', 'hypersensitivity / prevention &amp; control', 'male', 'regression analysis', 'rural health', 'skin tests', 'vegetables']"
MED-28,"['adult', 'anti-allergic agents / therapeutic use', 'chalcones / therapeutic use', 'double-blind method', 'eosinophils / drug effects', 'female', 'humans', 'immunoglobulin e / drug effects', 'lycopersicon esculentum', 'male', 'phytotherapy', 'plant extracts / therapeutic use', 'rhinitis, allergic, perennial / drug therapy', 'sneezing / drug effects', 'treatment outcome']"
MED-29,"['adult', 'aged', 'antioxidants / administration &amp; dosage', 'ascorbic acid / administration &amp; dosage', 'asthma / physiopathology', 'asthma / prevention &amp; control', 'cohort studies', 'diet', 'fatty acids / administration &amp; dosage', 'female', 'humans', 'middle aged', 'prospective studies', 'smoking', 'vitamin a / administration &amp; dosage', 'vitamin e / administration &amp; dosage']"
MED-30,"['ascorbic acid / blood', 'birth weight', 'child', 'cross-sectional studies', 'female', 'forced expiratory volume', 'fruit', 'humans', 'lung / physiopathology', 'male', 'regression analysis', 'respiratory sounds', 'social class', 'vegetables']"
MED-31,"['adolescent', 'child', 'conjunctivitis / complications', 'conjunctivitis / epidemiology', 'dermatitis, atopic / complications', 'dermatitis, atopic / epidemiology', 'diet', 'ecology', 'energy metabolism', 'fatty acids', 'global health', 'humans', 'prevalence', 'rhinitis, allergic, perennial / complications', 'rhinitis, allergic, perennial / epidemiology']"
MED-32,"['adult', 'arteriosclerosis / diet therapy', 'carotenoids / blood', 'diet, fat-restricted', 'ethane / analysis', 'female', 'humans', 'lipid peroxidation / drug effects', 'lipid peroxidation / physiology', 'male', 'malondialdehyde / blood', 'middle aged', 'oxidative stress / physiology', 'vitamin a / blood', 'vitamin e / blood']"
MED-33,"['adult', 'aged', 'antioxidants / administration &amp; dosage', 'antioxidants / adverse effects', 'antioxidants / therapeutic use', 'asthma / blood', 'asthma / diet therapy', 'asthma / immunology', 'asthma / physiopathology', 'c-reactive protein / analysis', 'carotenoids / adverse effects', 'carotenoids / analysis', 'carotenoids / therapeutic use', 'diet / adverse effects', 'dietary supplements / adverse effects', 'double-blind method', 'female', 'fruit / adverse effects', 'fruit / chemistry', 'humans', 'inflammation mediators / blood', 'lycopene', 'lycopersicon esculentum / adverse effects', 'lycopersicon esculentum / chemistry', 'male', 'middle aged', 'oxidative stress', 'patient dropouts', 'plant extracts / adverse effects', 'plant extracts / chemistry', 'plant extracts / therapeutic use', 'respiratory system / physiopathology', 'vegetables / adverse effects', 'vegetables / chemistry']"
MED-34,"['anti-asthmatic agents / administration &amp; dosage', 'anti-asthmatic agents / therapeutic use', 'antioxidants / administration &amp; dosage', 'antioxidants / therapeutic use', 'asthma / drug therapy', 'asthma / physiopathology', 'beverages', 'carotenoids / administration &amp; dosage', 'carotenoids / blood', 'carotenoids / therapeutic use', 'cross-over studies', 'dietary supplements', 'female', 'forced expiratory volume / drug effects', 'fruit', 'humans', 'inflammation / drug therapy', 'inflammation / physiopathology', 'leukocyte elastase / metabolism', 'lycopene', 'lycopersicon esculentum', 'male', 'middle aged', 'neutrophils / drug effects', 'neutrophils / enzymology', 'plant extracts / therapeutic use', 'severity of illness index', 'sputum / cytology', 'treatment outcome', 'vital capacity / drug effects']"
MED-35,"['adult', 'asthma / blood', 'asthma / drug therapy', 'carotenoids / administration &amp; dosage', 'carotenoids / analysis', 'carotenoids / blood', 'case-control studies', 'chromatography, high pressure liquid', 'diet', 'dietary supplements', 'female', 'humans', 'lycopene', 'male', 'mental recall', 'middle aged', 'oxidative stress / drug effects', 'sputum / chemistry']"
MED-36,"['asthma / epidemiology', 'asthma / etiology', 'beverages', 'child', 'cough', 'dairy products', 'diet', 'eggs', 'fruit', 'humans', 'interviews as topic', 'logistic models', 'meat', 'multivariate analysis', 'respiratory sounds', 'seafood', 'taiwan / epidemiology', 'urban population', 'vegetables']"
MED-37,"['adolescent', 'asthma / epidemiology', 'asthma / physiopathology', 'bronchial hyperreactivity / epidemiology', 'case-control studies', 'child', 'cohort studies', 'diet records', 'feeding behavior', 'female', 'humans', 'hypersensitivity / epidemiology', 'logistic models', 'male', 'manitoba / epidemiology', 'surveys and questionnaires', 'vegetables']"
MED-38,"['adult', 'age distribution', 'alcohol drinking / adverse effects', 'alcohol drinking / epidemiology', 'asthma / epidemiology', 'asthma / etiology', 'body mass index', 'cross-sectional studies', 'female', 'health surveys / methods', 'humans', 'india / epidemiology', 'male', 'middle aged', 'odds ratio', 'prevalence', 'prognosis', 'retrospective studies', 'risk factors', 'rural population', 'sex distribution', 'smoking / adverse effects', 'smoking / epidemiology', 'socioeconomic factors', 'young adult']"
MED-39,"['age factors', 'anthroposophy / psychology', 'bacteria / isolation &amp; purification', 'child welfare', 'child, preschool', 'colony count, microbial', 'family health', 'feces / chemistry', 'feces / microbiology', 'female', 'humans', 'hypersensitivity, immediate / diagnosis', 'hypersensitivity, immediate / microbiology', 'hypersensitivity, immediate / therapy', 'infant', 'infant food / microbiology', 'infant welfare', 'infant, newborn', 'intestines / microbiology', 'life style', 'male', 'severity of illness index', 'statistics as topic', 'sweden / epidemiology']"
MED-40,"['age distribution', 'asthma / epidemiology', 'causality', 'comorbidity', 'conjunctivitis, allergic / epidemiology', 'eczema / epidemiology', 'environmental exposure / statistics &amp; numerical data', 'environmental illness / epidemiology', 'female', 'humans', 'incidence', 'internationality', 'male', 'proportional hazards models', 'rhinitis, allergic, seasonal / epidemiology', 'risk assessment / methods', 'risk factors', 'sex distribution']"
MED-41,"['adolescent', 'asthma / epidemiology', 'child', 'disease progression', 'female', 'humans', 'international cooperation', 'male', 'practice patterns, physicians&#39; / statistics &amp; numerical data', 'prevalence', 'socioeconomic factors', 'surveys and questionnaires']"
MED-42,"['adolescent', 'animals', 'asthma / diet therapy', 'asthma / immunology', 'asthma / physiopathology', 'child', 'child, preschool', 'diet records', 'eggs / adverse effects', 'energy intake', 'england', 'female', 'humans', 'immunoglobulin e / blood', 'immunoglobulin e / immunology', 'immunoglobulin g / blood', 'immunoglobulin g / immunology', 'lactoglobulins / blood', 'lactoglobulins / immunology', 'male', 'milk / adverse effects', 'milk hypersensitivity / prevention &amp; control', 'peak expiratory flow rate', 'pilot projects', 'single-blind method']"
MED-43,"['adult', 'antioxidants', 'asthma / epidemiology', 'child', 'diet', 'fatty acids', 'female', 'humans', 'hypersensitivity / epidemiology', 'infections / epidemiology', 'infections / immunology', 'pregnancy', 'prenatal exposure delayed effects', 'risk']"
MED-44,"['adult', 'antioxidants / administration &amp; dosage', 'asthma / diet therapy', 'diet', 'female', 'genistein / administration &amp; dosage', 'humans', 'lung / physiology', 'male', 'prospective studies']"
MED-45,"['animals', 'asthma / microbiology', 'asthma / prevention &amp; control', 'environmental microbiology', 'humans', 'hypersensitivity / microbiology', 'hypersensitivity / prevention &amp; control', 'intestines / microbiology']"
MED-46,"['adolescent', 'asthma / epidemiology', 'asthma / etiology', 'asthma / prevention &amp; control', 'child', 'cost of illness', 'fever / complications', 'humans', 'hypersensitivity, immediate / complications', 'prognosis', 'respiratory sounds', 'respiratory tract infections / complications', 'risk factors']"
MED-47,"['adult', 'age factors', 'cardiovascular diseases / prevention &amp; control', 'cholesterol / blood', 'costs and cost analysis / statistics &amp; numerical data', 'food / economics', 'food assistance', 'fruit', 'health behavior', 'health surveys', 'humans', 'middle aged', 'risk factors', 'sex factors', 'vegetables']"
MED-48,"['agriculture / economics', 'agriculture / history', 'agriculture / legislation &amp; jurisprudence', 'food supply / economics', 'food supply / history', 'global health', 'government regulation / history', 'history, 17th century', 'history, 19th century', 'history, 20th century', 'history, 21st century', 'nutrition policy / history', 'nutrition policy / trends', 'politics']"
MED-49,"['arsenic / analysis', 'arsenic / standards', 'beverages / analysis', 'child', 'citrus', 'environmental monitoring', 'environmental pollutants / analysis', 'environmental pollutants / standards', 'food contamination / analysis', 'fruit', 'humans', 'lead / analysis', 'lead / standards', 'malus', 'risk assessment', 'united states', 'united states environmental protection agency / standards']"
MED-50,"['arsenic / analysis', 'child', 'child, preschool', 'edible grain / chemistry', 'food contamination / analysis', 'humans', 'infant', 'oryza / chemistry', 'sweetening agents']"
MED-51,"['animals', 'arsenicals / administration &amp; dosage', 'arsenicals / analysis', 'arsenicals / metabolism', 'chickens / metabolism', 'chromatography, high pressure liquid / veterinary', 'coccidiostats / administration &amp; dosage', 'coccidiostats / analysis', 'coccidiostats / metabolism', 'cooking', 'environmental exposure', 'environmental pollutants / administration &amp; dosage', 'environmental pollutants / analysis', 'environmental pollutants / metabolism', 'humans', 'lung neoplasms / chemically induced', 'lung neoplasms / epidemiology', 'mass spectrometry / veterinary', 'meat / analysis', 'pectoralis muscles / metabolism', 'risk assessment', 'roxarsone / administration &amp; dosage', 'roxarsone / analysis', 'roxarsone / metabolism', 'united states / epidemiology', 'urinary bladder neoplasms / chemically induced', 'urinary bladder neoplasms / epidemiology']"
MED-52,"['adult', 'california', 'child', 'child, preschool', 'diet', 'environmental pollutants / analysis', 'environmental pollutants / toxicity', 'food contamination', 'humans', 'middle aged', 'neoplasms / epidemiology', 'pesticides / analysis', 'pesticides / toxicity', 'risk assessment']"
MED-53,"['antibody formation', 'child, preschool', 'dioxins / toxicity', 'environmental pollutants / toxicity', 'female', 'food contamination', 'humans', 'infant', 'maternal exposure', 'measles vaccine / immunology', 'norway', 'polychlorinated biphenyls / toxicity', 'pregnancy', 'prenatal exposure delayed effects / chemically induced', 'regression analysis', 'respiratory sounds / etiology', 'respiratory tract infections / chemically induced', 'respiratory tract infections / epidemiology', 'surveys and questionnaires']"
MED-54,"['adult', 'aged', 'animals', 'breast feeding / statistics &amp; numerical data', 'dichlorodiphenyl dichloroethylene / blood', 'diet / statistics &amp; numerical data', 'environmental exposure / statistics &amp; numerical data', 'environmental pollutants / blood', 'female', 'fishes', 'food contamination / statistics &amp; numerical data', 'hexachlorobenzene / blood', 'hexachlorocyclohexane / blood', 'humans', 'hydrocarbons, chlorinated / blood', 'male', 'middle aged', 'pesticides / blood', 'polychlorinated biphenyls / blood', 'seafood / statistics &amp; numerical data', 'sweden']"
MED-55,"['adult', 'communicable diseases / immunology', 'disease susceptibility / chemically induced', 'disease susceptibility / immunology', 'environmental pollutants / toxicity', 'female', 'humans', 'immune system / drug effects', 'immune system / embryology', 'immune system / growth &amp; development', 'maternal exposure / adverse effects', 'pregnancy', 'prenatal exposure delayed effects / immunology']"
MED-56,"['acrylamide / toxicity', 'adult', 'cohort studies', 'dioxins / toxicity', 'eating', 'environmental pollutants / toxicity', 'female', 'humans', 'infant', 'maternal exposure / adverse effects', 'norway', 'polychlorinated biphenyls / toxicity', 'pregnancy', 'prenatal exposure delayed effects', 'respiratory sounds / physiopathology', 'respiratory tract infections / chemically induced', 'risk factors', 'surveys and questionnaires']"
MED-57,[]
MED-58,[]
MED-59,"['aging', 'animals', 'caenorhabditis elegans / genetics', 'caenorhabditis elegans / physiology', 'caloric restriction', 'drosophila / genetics', 'drosophila / physiology', 'eating', 'haplorhini', 'humans', 'longevity', 'mice', 'saccharomyces cerevisiae / genetics', 'saccharomyces cerevisiae / physiology', 'signal transduction']"
MED-60,"['animals', 'cell cycle proteins / physiology', 'cell cycle', 'food', 'humans', 'transcription factors / physiology']"
MED-61,"['adult', 'aged', 'aged, 80 and over', 'california', 'christianity', 'diet', 'exercise', 'female', 'humans', 'life expectancy', 'life style', 'life tables', 'male', 'middle aged', 'mortality', 'risk', 'surveys and questionnaires']"
MED-62,"['adiponectin / pharmacology', 'diet, vegetarian', 'dietary proteins / administration &amp; dosage', 'down-regulation', 'humans', 'mechanistic target of rapamycin complex 1', 'metformin / pharmacology', 'multiprotein complexes', 'neoplasms / physiopathology', 'neoplasms / prevention &amp; control', 'proteins / physiology', 'sirolimus / pharmacology', 'tor serine-threonine kinases']"
MED-63,[]
MED-64,"['amino acids / physiology', 'animals', 'caloric restriction / methods', 'humans', 'longevity / physiology', 'protein binding / physiology', 'protein-serine-threonine kinases / physiology', 'signal transduction / physiology', 'tor serine-threonine kinases / physiology']"
MED-65,"['aging / physiology', 'animals', 'caloric restriction / adverse effects', 'caloric restriction / psychology', 'health', 'humans', 'longevity / physiology', 'molecular mimicry']"
MED-66,"['animals', 'caloric restriction', 'female', 'humans', 'life expectancy', 'longevity / physiology', 'male', 'sex factors']"
MED-67,"['aging / drug effects', 'aging / physiology', 'animals', 'anti-inflammatory agents / pharmacology', 'antioxidants / pharmacology', 'caloric restriction', 'cardiovascular diseases / prevention &amp; control', 'chronic disease / prevention &amp; control', 'diabetes mellitus, type 2 / prevention &amp; control', 'diet', 'functional food', 'glycemic index', 'health', 'humans', 'japan', 'longevity / drug effects', 'longevity / physiology', 'magnoliopsida', 'neoplasms / prevention &amp; control', 'obesity / prevention &amp; control', 'oxidative stress / drug effects', 'plant extracts / therapeutic use', 'vegetables']"
MED-68,[]
MED-69,"['aging / metabolism', 'animals', 'diabetes mellitus / enzymology', 'gene expression regulation, enzymologic', 'humans', 'neoplasms / enzymology', 'signal transduction', 'tor serine-threonine kinases / metabolism']"
MED-70,"['aging / metabolism', 'aging / pathology', 'animals', 'humans', 'insulin / metabolism', 'insulin-like growth factor i / metabolism', 'longevity / genetics', 'signal transduction', 'tor serine-threonine kinases / metabolism']"
MED-71,"['aging / genetics', 'aging / physiology', 'animals', 'cellular senescence / genetics', 'growth / genetics', 'growth / physiology', 'humans', 'stochastic processes', 'yeasts / physiology']"
MED-72,"['aging / physiology', 'animals', 'caloric restriction / adverse effects', 'caloric restriction / psychology', 'health', 'humans', 'longevity / physiology', 'molecular mimicry']"
MED-73,"['aging / drug effects', 'aging / physiology', 'animals', 'humans', 'immunosuppressive agents / pharmacology', 'intracellular signaling peptides and proteins / physiology', 'longevity / drug effects', 'longevity / physiology', 'protein-serine-threonine kinases / physiology', 'sirolimus / pharmacology', 'tor serine-threonine kinases']"
MED-74,"['animals', 'antifungal agents / isolation &amp; purification', 'antifungal agents / pharmacology', 'antifungal agents / toxicity', 'candida albicans / drug effects', 'mice', 'microsporum / drug effects', 'polyenes / isolation &amp; purification', 'polyenes / pharmacology', 'streptomyces / analysis', 'streptomyces / classification', 'trichophyton / drug effects']"
MED-75,"['abo blood-group system', 'databases, factual', 'diet / trends', 'humans', 'randomized controlled trials as topic']"
MED-76,"['adult', 'aged', 'anticholesteremic agents / therapeutic use', 'attitude of health personnel', 'attitude to health', 'cholesterol, ldl / blood', 'combined modality therapy', 'communication barriers', 'coronary disease / epidemiology', 'coronary disease / genetics', 'culture', 'diet, fat-restricted / psychology', 'feeding behavior', 'female', 'france', 'general practitioners / psychology', 'genetic predisposition to disease', 'humans', 'hypercholesterolemia / diet therapy', 'hypercholesterolemia / drug therapy', 'hypercholesterolemia / psychology', 'male', 'middle aged', 'patient compliance', 'patient education as topic', 'practice patterns, physicians&#39;', 'prescriptions', 'prospective studies', 'risk factors', 'sampling studies', 'surveys and questionnaires']"
MED-77,"['caco-2 cells', 'collagenases / genetics', 'collagenases / metabolism', 'colonic neoplasms / enzymology', 'colonic neoplasms / genetics', 'colonic neoplasms / pathology', 'gelatinases / genetics', 'gelatinases / metabolism', 'gene expression regulation, enzymologic / drug effects', 'gene expression regulation, neoplastic / drug effects', 'humans', 'interleukin-1beta / pharmacology', 'matrix metalloproteinase 3 / genetics', 'matrix metalloproteinase 3 / metabolism', 'metalloproteases / genetics', 'metalloproteases / metabolism', 'models, biological', 'neoplasm metastasis', 'phytic acid / pharmacology', 'rna, messenger / genetics', 'rna, messenger / metabolism', 'real-time polymerase chain reaction', 'tissue inhibitor of metalloproteinases / genetics', 'tissue inhibitor of metalloproteinases / metabolism']"
MED-78,"['adenoma / prevention &amp; control', 'adult', 'colonic polyps / prevention &amp; control', 'colonoscopy', 'colorectal neoplasms / prevention &amp; control', 'diet', 'fabaceae', 'female', 'fruit', 'humans', 'male', 'middle aged', 'multicenter studies as topic', 'neoplasm recurrence, local / prevention &amp; control', 'randomized controlled trials as topic', 'vegetables']"
MED-79,"['adult', 'aged', 'breast neoplasms / drug therapy', 'carcinoma, ductal / drug therapy', 'drug therapy, combination', 'female', 'humans', 'middle aged', 'phytic acid / administration &amp; dosage', 'pilot projects', 'quality of life', 'receptors, cytoplasmic and nuclear / administration &amp; dosage', 'surveys and questionnaires']"
MED-80,"['cell cycle / drug effects', 'cell death / drug effects', 'cell division / drug effects', 'dna, neoplasm / genetics', 'dose-response relationship, drug', 'gene expression regulation, neoplastic / drug effects', 'hematopoietic stem cells / drug effects', 'humans', 'leukemia / pathology', 'leukemia, myelogenous, chronic, bcr-abl positive / pathology', 'neoplastic stem cells / drug effects', 'oligonucleotide array sequence analysis', 'phytic acid / pharmacology', 'reverse transcriptase polymerase chain reaction', 'tumor cells, cultured']"
